Common Name,Scientific name,Description,Diet,Habitat 
Common Loon,Gavia immer ,"The eerie calls of Common Loons echo across clear lakes of the northern wilderness. Summer adults are regally patterned in black and white. In winter, they are plain gray above and white below, and you’ll find them close to shore on most seacoasts and a good many inland reservoirs and lakes. Common Loons are powerful, agile divers that catch small fish in fast underwater chases. They are less suited to land, and typically come ashore only to nest ","Common Loons are expert anglers. Their diet consists of mostly fish, particularly perch and sunfish on their northern lakes. If fish are scarce or water is too murky for fishing, they will catch crustaceans, snails, leeches and even aquatic insect larvae. Though people on the surface only see loons disappear with a dive and reappear with a fish in their bill to be swallowed headfirst, their fishing pursuits underwater are something to behold. Loons shoot through the water like a torpedo, propelled by powerful thrusts of feet located near the rear of their body. When their quarry changes direction, loons can execute an abrupt flip-turn that would make Olympic swimmers jealous: they extend one foot laterally as a pivot brake and kick with the opposite foot to turn 180 degrees in a fraction of a second. In their wintering waters, loons eat smallish fish such as Atlantic croaker. Sometimes they band together in groups to chase schools of Gulf silversides. ","Common Loons are a classic bird of the North Woods lakes. They are excellent indicators of water quality as they require crystal-clear lakes (which makes it easier for them to see prey underwater) with abundant populations of small fish. Lakes with coves and islands are preferred as they provide cover from predators while resting and nesting. They also require lakes with enough surface area for their flapping-and-running takeoffs across the water. In their winter range along ocean coasts, they occur fairly close to shore and in bays and estuaries. They are only rarely found more than several miles offshore. Some Common Loons winter inland, on large reservoirs and slow-moving rivers. Common Loons that migrate across interior North America find large lakes and rivers to move between on their way north and south. "
\\,,,,
Pied-billed Grebe,Podilymbus podiceps ,"Part bird, part submarine, the Pied-billed Grebe is common across much of North America. These small brown birds have unusually thick bills that turn silver and black in summer. These expert divers inhabit sluggish rivers, freshwater marshes, lakes, and estuaries. They use their chunky bills to kill and eat large crustaceans along with a great variety of fish, amphibians, insects, and other invertebrates. Rarely seen in flight and often hidden amid vegetation, Pied-billed Grebes announce their presence with loud, far-reaching calls. ","Pied-billed Grebes eat mostly crustaceans (particularly crayfish) and small fish, which they capture and crush with their stout bills and strong jaws. Overall, these opportunistic feeders consume a great variety of prey items, large and small, depending on what’s available. Collecting most of their food underwater during foraging dives, they eat crabs, shrimp, snails, mussels, beetles, dragonfly nymphs, and aquatic insects and their larvae. In some parts of their range, Pied-billed Grebes go after leeches, frogs and tadpoles. Among this grebe’s most common fish prey are carp, minnows, catfish, sculpins, killifish, sticklebacks, gizzard shad, and sunfishes. Pied-billed Grebes in the fishless wetlands of Manitoba kill and eat tiger salamanders. ","Pied-billed Grebes live on bodies of flat or sluggish, fresh to slightly brackish water, at altitudes from sea level to about 8,000 feet. They forage in open water but construct their floating nests using materials and anchors of aquatic vegetation and/or dense stands of emergent vegetation—plants that root underwater with leaves and stems that extend into air. Habitat types include freshwater wetlands, wet fields, bays, sloughs, marshes, lakes, slow-moving rivers, and even sewage ponds. Pied-billed Grebes can nest in moderately to heavily populated areas. They occupy similar habitats during migration and winter "
Horned Grebe,Podiceps auritus ,"Familiar to most North American birders in its black-and-white winter plumage, the Horned Grebe is more striking in its red-and-black breeding feathers. Its ""horns"" are yellowish patches of feathers behind its eyes that it can raise and lower at will.","Aquatic insects, fish, crustaceans, and other small aquatic animals ","Breeds on small to moderate-sized, shallow freshwater ponds and marshes. Winters along coasts and on large bodies of water."
Red-necked Grebe,Podiceps grisegena  ,"The Red-necked Grebe breeds on small inland lakes in Canada and Alaska, and winters along both coasts of North America. Boldly marked, vocal, and aggressive during the breeding season, it is quiet and subtly attired in winter. ","Fish, crustaceans, aquatic insects, and some mollusks and amphibians. ","Breeds on shallow freshwater lakes, bays of larger lakes, marshes, and other inland bodies of water. Winters on open ocean or on large lakes. "
Eared Grebe,Podiceps nigricollis  ,"The most abundant grebe in the world, the Eared Grebe breeds in shallow wetlands in western North America. It occurs in greatest numbers on Mono Lake and the Great Salt Lake in fall, where it doubles its weight in preparation for a nonstop flight to its wintering grounds in the southwestern United States and Mexico. ","Aquatic invertebrates, especially brine shrimp and brine flies ","Breeds in shallow lakes and ponds. In migration and in winter prefers salt water. Occurs in great numbers in super salty habitats, where fish are absent. "
Western Grebe,Aechmophorus occidentalis  ,"A large, elegant, black-and-white grebe, the Western Grebe breeds in lakes and ponds across the American West and winters primarily off the Pacific Coast. The very similar Clark's Grebe was long thought to be the same species. Both species have a dramatic, choreographed courtship display, in which the birds rush across the water with their long necks extended. ","Western Grebes eat mainly fish, catching them by diving in open water. They either spear prey or capture it with a forceps-like motion of the bill, taking larger prey items to the surface before swallowing. They also occasionally consume bottom-dwelling crustaceans and worms (polychaetes).","Western Grebes breed on freshwater lakes and marshes with extensive open water bordered by emergent vegetation. During winter they move to saltwater or brackish bays, estuaries, or sheltered sea coasts and are less frequently found on freshwater lakes or rivers. "
Clark's Grebe,Aechmophorus clarkii  ,"A white-faced version of the Western Grebe, the Clark's Grebe formerly was thought to be the same species. Differences in face and bill color keep the two grebes from interbreeding",,
,,,,
Double-crested Cormorant,Phalacrocorax auritus  ,"The gangly Double-crested Cormorant is a prehistoric-looking, matte-black fishing bird with yellow-orange facial skin. Though they look like a combination of a goose and a loon, they are relatives of frigatebirds and boobies and are a common sight around fresh and salt water across North America—perhaps attracting the most attention when they stand on docks, rocky islands, and channel markers, their wings spread out to dry. These solid, heavy-boned birds are experts at diving to catch small fish. ","A cormorant’s diet is almost all fish, with just a few insects, crustaceans, or amphibians. They eat a wide variety of fish (more than 250 species have been reported), and they have impressive fishing technique: diving and chasing fish underwater with powerful propulsion from webbed feet. The tip of a cormorant’s upper bill is shaped like a hook, which is helpful for catching prey. When cormorants happen to catch a crustacean like a crayfish, they exhibit a little flair in eating it—hammering the prey on the water to shake its legs off, then flipping it in the air and catching it headfirst for easy swallowing. ","Double-crested Cormorants are colonial waterbirds that seek aquatic bodies big enough to support their mostly fish diet. However, they may roost and form breeding colonies on smaller lagoons or ponds, and then fly up to 40 miles to a feeding area. In addition to fishing waters, cormorants need perching areas for the considerable amount of time they spend resting each day. After fishing, cormorants retire to high, airy perches to dry off and digest their meals—rocks, wires, tops of dead trees, ship masts. They tend to form breeding colonies in clusters of trees in or near water. After a while, masses of cormorant guano may kill these trees and the trees may topple, at which point the cormorants may switch to nesting on the ground "
,,,,
American White Pelican,Pelecanus erythrorhynchos  ,"One of the largest North American birds, the American White Pelican is majestic in the air. The birds soar with incredible steadiness on broad, white-and-black wings. Their large heads and huge, heavy bills give them a prehistoric look. On the water they dip their pouched bills to scoop up fish, or tip-up like an oversized dabbling duck. Sometimes, groups of pelicans work together to herd fish into the shallows for easy feeding. Look for them on inland lakes in summer and near coastlines in winter. ","American White Pelicans eat mostly small fish that occur in shallow wetlands, such as minnows, carp, and suckers. Schooling fish smaller than one half their bill length predominate, though they will take sluggish bottom feeders, salamanders, tadpoles, and crayfish. They may also take deeper water fish like tui chub that spawn in the shallows. Because they are opportunistic, their diet changes with water levels and prey species abundance. In some areas of the Great Plains, salamanders and crayfish can predominate in the pelicans' diet. These birds can take game fish like cutthroat trout during spawning runs when locally available. Their prey is usually of little commercial value, although catfish aquaculture ponds in the Mississippi Delta have become an increasingly favored food source in recent years, especially during spring migrations. ","American White Pelicans breed mainly on isolated islands in freshwater lakes or, in the northern Great Plains, on ephemeral islands in shallow wetlands. They forage in shallow water on inland marshes, along lake or river edges, and in wetlands, commonly 30 miles or more from their nesting islands. Where late summer temperatures bring sunning fish near the surface, these pelicans can forage on deeper lakes. During migrations, they stop in similar habitats to forage and rest. Catfish aquaculture farms in the Mississippi Delta have become increasingly popular spring migration stops for more easterly migrating flocks. In the winter, they favor coastal bays, inlets, estuaries, and sloughs where they can forage in shallow water and rest on exposed spots like sandbars. They rarely winter inland, though the Salton Sea in Southern California is a regular exception. Other inland sites may include large rivers where moving water prevents surface ice, including stretches below dams. "
Brown Pelican,Pelecanus occidentalis  ,"The Brown Pelican is a comically elegant bird with an oversized bill, sinuous neck, and big, dark body. Squadrons glide above the surf along southern and western coasts, rising and falling in a graceful echo of the waves. They feed by plunge-diving from high up, using the force of impact to stun small fish before scooping them up. They are fairly common today—an excellent example of a species’ recovery from pesticide pollution that once placed them at the brink of extinction. ","Brown Pelicans mostly eat small fish that form schools near the surface of the water—including menhaden, mullet, anchovies, herring, and sailfin mollies. A foraging pelican spots a fish from the air and dives head-first from as high as 65 feet over the ocean, tucking and twisting to the left to protect its trachea and esophagus from the impact. As it plunges into the water, its throat pouch expands to trap the fish, filling with up to 2.6 gallons of water. Pelicans usually feed above estuaries and shallow ocean waters within 12 miles of shore, but sometimes venture over the deeper waters past the narrow continental shelf of the Pacific coast. They occasionally feed by sitting on the surface and seizing prey with their bills, like other pelican species, usually when a dense school of fish is close to the surface and the water is too shallow and muddy to plunge. They also steal food from other seabirds, scavenge dead animals, and eat invertebrates such as prawns. ","Brown Pelicans live year-round in estuaries and coastal marine habitats along both the east and west coasts. They breed between Maryland and Venezuela, and between southern California and southern Ecuador—often wandering farther north after breeding as far as British Columbia or New York. On the Atlantic and Gulf coasts they breed mostly on barrier islands, natural islands in estuaries, and islands made of refuse from dredging, but in Florida and southern Louisiana they primarily use mangrove islets. On the West Coast they breed on dry, rocky offshore islands. When not feeding or nesting, they rest on sandbars, pilings, jetties, breakwaters, mangrove islets, and offshore rocks "
,,,,
American Bittern,Botaurus lentiginosus  ,"You'll need sharp eyes to catch sight of an American Bittern. This streaky, brown and buff heron can materialize among the reeds, and disappear as quickly, especially when striking a concealment pose with neck stretched and bill pointed skyward. These stealthy carnivores stand motionless amid tall marsh vegetation, or patiently stalk fish, frogs, and insects. They are at their most noticeable in spring, when the marshes resound with their odd booming calls that sounds like the gulps of a thirsty giant. ","American Bitterns eat insects, crustaceans, fish, amphibians, reptiles, and small mammals. Their most common insect prey include water striders, giant water bugs, water beetles, water scorpions, grasshoppers, and especially dragonflies, which the birds sometimes manage to capture in midair. Frequently consumed fish include eels, catfish, pickerel, sunfish, suckers, perch, killifish, and sticklebacks. Rayfish, crabs, frogs, tadpoles, salamanders, garter snakes, water snakes, and meadow voles round out the diet. American Bitterns usually forage in dim light, at shorelines and the fringes of vegetated areas. A foraging bird may sway its neck, perhaps to see past glare from the surface of shallow water, or to warm up its muscles for a quick strike. A characteristic strategy is to stand stock-still with bill held horizontal, gradually aiming the bill downward with nearly imperceptible movements—until, with a sudden darting motion, the bittern seizes the prey in its bill, bites or shakes it to death, and swallows it head first. Indigestible parts of prey animals are regurgitated as pellets. ","American Bitterns breed mainly in freshwater marshes with tall vegetation. You can find them in wetlands of many sizes and kinds, typically less densely vegetated and shallower than wetlands used by the Least Bittern. In winter they move to areas where water bodies don't freeze, especially near the coast, where they occasionally use brackish marshes. Managed wetlands such as wildlife refuges seem to be important for wintering American Bitterns. Wintering birds may also forage in dry grasslands and other terrestrial habitats."
Least Bittern,Ixobrychus exilis ,"A tiny heron, furtive and surpassingly well camouflaged, the Least Bittern is one of the most difficult North American marsh birds to spot. Despite its inconspicuousness, however, the species can be rather common within appropriate habitat in its breeding range. ",Small fish and insects.,Freshwater or brackish marshes with tall emergent vegetation 
Great Blue Heron,Ardea herodias ,"Whether poised at a river bend or cruising the coastline with slow, deep wingbeats, the Great Blue Heron is a majestic sight. This stately heron with its subtle blue-gray plumage often stands motionless as it scans for prey or wades belly deep with long, deliberate steps. They may move slowly, but Great Blue Herons can strike like lightning to grab a fish or snap up a gopher. In flight, look for this widespread heron’s tucked-in neck and long legs trailing out behind. ","Great Blue Herons eat nearly anything within striking distance, including fish, amphibians, reptiles, small mammals, insects, and other birds. They grab smaller prey in their strong mandibles or use their dagger-like bills to impale larger fish, often shaking them to break or relax the sharp spines before gulping them down. ","Great Blue Herons live in both freshwater and saltwater habitats, and also forage in grasslands and agricultural fields, where they stalk frogs and mammals. Most breeding colonies are located within 2 to 4 miles of feeding areas, often in isolated swamps or on islands, and near lakes and ponds bordered by forests. "
Great Egret,Ardea alba  ,"The elegant Great Egret is a dazzling sight in many a North American wetland. Slightly smaller and more svelte than a Great Blue Heron, these are still large birds with impressive wingspans. They hunt in classic heron fashion, standing immobile or wading through wetlands to capture fish with a deadly jab of their yellow bill. Great Egrets were hunted nearly to extinction for their plumes in the late nineteenth century, sparking conservation movements and some of the first laws to protect birds. ","The Great Egret eats mainly small fish but also eats amphibians, reptiles, birds, small mammals and invertebrates such as crayfish, prawns, shrimp, polychaete worms, isopods, dragonflies and damselflies, whirligig beetles, giant water bugs, and grasshoppers. It hunts in belly-deep or shallower water in marine, brackish, and freshwater wetlands, alone or in groups. It wades as it searches for prey, or simply stands still to wait for prey to approach ","Great Egrets live in freshwater, brackish, and marine wetlands. During the breeding season they live in colonies in trees or shrubs with other waterbirds, ranging across the southeastern states and in scattered spots throughout the rest of the U.S. and southern Canada. The colonies are located on lakes, ponds, marshes, estuaries, impoundments, and islands. Great Egrets use similar habitats for migration stopover sites and wintering grounds. They hunt in marshes, swamps, streams, rivers, ponds, lakes, impoundments, lagoons, tidal flats, canals, ditches, fish-rearing ponds, flooded farm fields, and sometimes upland habitats. "
Snowy Egret,Egretta thula ,"Among the most elegant of the herons, the slender Snowy Egret sets off immaculate white plumage with black legs and brilliant yellow feet. Those feet seem to play a role in stirring up or herding small aquatic animals as the egret forages. Breeding Snowy Egrets grow filmy, curving plumes that once fetched astronomical prices in the fashion industry, endangering the species. Early conservationists rallied to protect egrets by the early twentieth century, and this species is once again a common sight in shallow coastal wetlands","The Snowy Egret eats mostly aquatic animals, including fish, frogs, worms, crustaceans, and insects. It often uses its bright yellow feet to paddle in the water or probe in the mud, rounding up prey before striking with its bill. Snowy Egrets feed while standing, walking, running, or hopping, and they may vibrate their bills, sway their heads, or flick their wings as part of prey gathering. They even forage while hovering. Snowy Egrets forage in saltmarsh pools, tidal channels, tidal flats, freshwater marshes, swamps, ocean inlets, and lake edges, usually preferring brackish or marine habitats with shallow water. Other foraging water birds often assemble around them to form mixed-species foraging groups ","Snowy Egrets nest in colonies on thick vegetation in isolated places—such as barrier islands, dredge-spoil islands, salt marsh islands, swamps, and marshes. They often change location from year to year. During the breeding season Snowy Egrets feed in estuaries, saltmarshes, tidal channels, shallow bays, and mangroves. They winter in mangroves, saltwater lagoons, freshwater swamps, grassy ponds, and temporary pools, and forage on beaches, shallow reefs, and wet fields. "
Cattle Egret,Bubulcus ibis  ,"The short, thick-necked Cattle Egret spends most of its time in fields rather than streams. It forages at the feet of grazing cattle, head bobbing with each step, or rides on their backs to pick at ticks. This stocky white heron has yellow plumes on its head and neck during breeding season. Originally from Africa, it found its way to North America in 1953 and quickly spread across the continent. Elsewhere in the world, it forages alongside camels, ostriches, rhinos, and tortoises—as well as farmers’ tractors ","Cattle Egrets have broad, adaptable diets: primarily insects, plus other invertebrates, fish, frogs, mammals, and birds. They feed voraciously alone or in loose flocks of up to hundreds. Foraging mostly on insects disturbed by grazing cattle or other livestock, they also glean prey from wetlands or the edges of fields that have been disturbed by fire, tractors, or mowing machinery. Grasshoppers and crickets are the biggest item on their menu, which also includes horse flies, owlet moths and their larvae, cicadas, wolf spiders, ticks, earthworms, crayfish, millipedes, centipedes, fish, frogs, mice, songbirds, eggs, and nestlings ","Cattle Egrets breed in coastal barrier islands, marshes, reservoirs, lakes, quarries, swamps, riverside woodlands, and upland forests. They usually nest in colonies already established by native herons and egrets, and forage in fields with grazing livestock. During spring and fall migration they stop along marine shorelines as well as in farm fields. Some spend winters in the southern United States, mainly in coastal areas where the temperature rarely falls below 40° Fahrenheit. Scattered individuals spend mild winters farther north on both coasts, as far as Washington and Rhode Island. Their North American range is still expanding "
Green Heron,Butorides virescens ,"From a distance, the Green Heron is a dark, stocky bird hunched on slender yellow legs at the water’s edge, often hidden behind a tangle of leaves. Seen up close, it is a striking bird with a velvet-green back, rich chestnut body, and a dark cap often raised into a short crest. These small herons crouch patiently to surprise fish with a snatch of their daggerlike bill. They sometimes lure in fish using small items such as twigs or insects as bait ","Green Herons eat mainly small fish such as minnows, sunfish, catfish, pickerel, carp, perch, gobies, shad, silverside, eels, and goldfish. They also feeds on insects, spiders, crustaceans, snails, amphibians, reptiles, and rodents. They hunt by standing still at the water’s edge, in vegetation, or by walking slowly in shallow water. When a fish approaches, the heron lunges and darts its head, grasping (or sometimes spearing) the fish with its heavy bill. Occasionally Green Herons hunt in deeper water by plunging on prey from above. They hunt at all times of the day and night in the shallows of swamps, creeks, marshes, ditches, ponds, and mangroves. They usually forage among thick vegetation in water that is less than 4 inches deep, avoiding the deeper and more open areas frequented by longer-legged herons. ","Green Herons are common breeders in coastal and inland wetlands. They nest along swamps, marshes, lakes, ponds, impoundments, and other wet habitats with trees and shrubs to provide secluded nest sites. They may even nest in dry woods and orchards as long as there is water nearby for foraging. Green Herons spend the winter in southern coastal areas of their range, and in marine and freshwater habitat throughout Mexico and Central America. In tropical areas they are common in mangrove swamps. "
Blk-crowned Night-Heron,Nycticorax nycticorax  ,"Black-crowned Night-Herons are stocky birds compared to many of their long-limbed heron relatives. They’re most active at night or at dusk, when you may see their ghostly forms flapping out from daytime roosts to forage in wetlands. In the light of day adults are striking in gray-and-black plumage and long white head plumes. These social birds breed in colonies of stick nests usually built over water. They live in fresh, salt, and brackish wetlands and are the most widespread heron in the world ","Black-crowned Night-Herons are common in wetlands across North America, including saltmarshes, freshwater marshes, swamps, streams, rivers, lakes, ponds, lagoons, tidal mudflats, canals, reservoirs, and wet agricultural fields. They require aquatic habitat for foraging and terrestrial vegetation for cover. They spend the winter in southern and coastal portions of their breeding range as well as across Mexico and Central America, where they use mangroves, marshes, swamps, lagoons, and flooded rice fields. ","Black-crowned Night-Herons are opportunists feeders that eat many kinds of terrestrial, freshwater, and marine animals. Their diet includes leeches, earthworms, insects, crayfish, clams, mussels, fish, amphibians, lizards, snakes, turtles, rodents, birds, and eggs. They also eat carrion, plant materials, and garbage from landfills. Rather than stabbing their prey, they grasp it in their bills. Black-crowned Night-Herons normally feed between evening and early morning, avoiding competition with other heron species that use the same habitat during the day. They may feed during the day in the breeding season, when they need extra energy for nesting. "
,,,,
,,,,
,,,,
http://www.birds.cornell.edu/Page.aspx?pid=1478#_ga=1.8473397.1469931805.1491191986,,,,
,,,,
White-faced Ibis,Plegadis chihi  ,"A dark wading bird with a long, down-curved bill, the White-faced Ibis is a western replacement for the Glossy Ibis. Similar in appearance and habits, the two species can be distinguished only by slight differences in coloring of the face and legs ",,
,,,,
Turkey Vulture,Cathartes aura ,"If you’ve gone looking for raptors on a clear day, your heart has probably leaped at the sight of a large, soaring bird in the distance– perhaps an eagle or osprey. But if it's soaring with its wings raised in a V and making wobbly circles, it's likely a Turkey Vulture. These birds ride thermals in the sky and use their keen sense of smell to find fresh carcasses. They are a consummate scavenger, cleaning up the countryside one bite of their sharply hooked bill at a time, and never mussing a feather on their bald heads ","Turkey Vultures eat carrion, which they find largely by their excellent sense of smell. Mostly they eat mammals but are not above snacking on reptiles, other birds, amphibians, fish, and even invertebrates. They prefer freshly dead animals, but often have to wait for their meal to soften in order to pierce the skin. They are deft foragers, targeting the softest bits first and are even known to leave aside the scent glands of dead skunks. Thankfully for them, vultures appear to have excellent immune systems, happily feasting on carcasses without contracting botulism, anthrax, cholera, or salmonella. Unlike their Black Vulture relatives, Turkey Vultures almost never attack living prey ","Look for Turkey Vultures as they cruise open areas including mixed farmland, forest, and rangeland. They are particularly noticeable along roadsides and at landfills. At night, they roost in trees, on rocks, and other high secluded spots. "
California Condor,Gymnogyps californianus ,"The spectacular but endangered California Condor is the largest bird in North America. These superb gliders travel widely to feed on carcasses of deer, pigs, cattle, sea lions, whales, and other animals. Pairs nest in caves high on cliff faces. The population fell to just 22 birds in the 1980s, but there are now some 230 free-flying birds in California, Arizona, and Baja California with another 160 in captivity. Lead poisoning remains a severe threat to their long-term prospects. ","California Condors eat carrion of land and marine mammals such as deer, cattle, pigs, rabbits, sea lions, and whales. They swallow bone chips and marine shells to meet their calcium needs. They favor small to medium-sized carcasses, probably because smaller bones are easily consumed and digested. Condors locate carcasses with their keen eyesight (not by smell) by observing other scavengers assembled at a carcass. Once they land they take over the carcass from smaller species, but they are tolerant of each other and usually feed in groups. Condors are wary of humans while feeding, which is probably why they do not use roadkill as a food source. In captivity, condors consume 5–7 percent of their body mass per day to maintain their weight, but because their crop (an enlarged part of the esophagus) can hold 3 pounds of food, they may only have to eat every 2–3 days. Young are fed by regurgitation","California Condors have been reintroduced to mountains of southern and central California, Arizona, Utah, and Baja California. Nesting habitats range from scrubby chaparral to forested mountain regions up to about 6,000 feet elevation. Foraging areas are in open grasslands and can be far from primary nesting sites, requiring substantial daily commutes. Condors glide and soar when foraging, so they depend on reliable air movements and terrain that enables extended soaring flight. They are so heavy that they can have trouble taking off, so they often use open, windy areas where they can run downhill or launch themselves from a cliff edge or exposed branch to get airborne. Before captive breeding programs began in the 1980s all remaining condors foraged in an area encompassing about 2,700 square miles; this range is now expanding as the wild population grows. Young condors learn the full extent of their range partly from other more experienced birds "
,,,,
Osprey,Pandion haliaetus ,"Unique among North American raptors for its diet of live fish and ability to dive into water to catch them, Ospreys are common sights soaring over shorelines, patrolling waterways, and standing on their huge stick nests, white heads gleaming. These large, rangy hawks do well around humans and have rebounded in numbers following the ban on the pesticide DDT. Hunting Ospreys are a picture of concentration, diving with feet outstretched and yellow eyes sighting straight along their talons ","The Osprey is the only hawk on the continent that eats almost exclusively live fish. In North America, more than 80 species of live fresh- and saltwater fish account for 99 percent of the Osprey’s diet. Captured fish usually measure about 6–13 inches in length and weigh one-third to two-thirds of a pound. The largest catch on record weighed about 2.5 pounds. On very rare occasions, Ospreys have been observed feeding on fish carcasses or on birds, snakes, voles, squirrels, muskrats, and salamanders. Ospreys probably get most of the water they need from the flesh of their prey, although there are reports of adults drinking on hot days. ","Unable to dive to more than about three feet below the water's surface, Ospreys gravitate toward shallow fishing grounds, frequenting deep water only where fish school near the surface. Ospreys nest in a wide variety of locations, from Alaska to New England, Montana to Mexico, Carolina to California; their habitat includes almost any expanse of shallow, fish-filled water, including rivers, lakes, reservoirs, lagoons, swamps, and marshes. Whatever the location, Osprey nesting habitat must include an adequate supply of accessible fish within a maximum of about 12 miles of the nest; open, usually elevated nest sites free from predatory mammals such as raccoons, and a long enough ice-free season to allow the young to fledge "
,,,,
White-tailed Kite,Elanus leucurus ,"A medium-sized raptor of open grasslands and savannas, the White-tailed Kite is readily identified by its bright plumage and its habit of hovering while hunting for small mammals. ","The White-tailed Kite eats mainly small mammals, as well as some birds, lizards, and insects. An analysis of more than 12,500 prey items showed that more than 95% were small mammals, suggesting that White-tailed Kites specialize on these animals and that other prey are taken only incidentally ","Commonly found in savanna, open woodlands, marshes, desert grassland, partially cleared lands, and cultivated fields. Generally avoids areas with extensive winter freezes, but rainfall and humidity vary greatly throughout this bird's range. White-tailed Kites hunt over lightly grazed or ungrazed fields where there may be larger prey populations than in more heavily grazed areas "
Bald Eagle,Haliaeetus leucocephalus ,"The Bald Eagle has been the national emblem of the United States since 1782 and a spiritual symbol for native people for far longer than that. These regal birds aren’t really bald, but their white-feathered heads gleam in contrast to their chocolate-brown body and wings. Look for them soaring in solitude, chasing other birds for their food, or gathering by the hundreds in winter. Once endangered by hunting and pesticides, Bald Eagles have flourished under protection ","Fish of many kinds constitute the centerpiece of the Bald Eagle diet (common examples include salmon, herring, shad, and catfish), but these birds eat a wide variety of foods depending on what’s available. They eat birds, reptiles, amphibians, invertebrates such as crabs, and mammals including rabbits and muskrats. They take their prey live, fresh, or as carrion. Bald Eagles sometimes gorge, ingesting a large amount of food and digesting it over several days. They can also survive fasting for many days, even weeks. ","Bald Eagles typically nest in forested areas adjacent to large bodies of water, staying away from heavily developed areas when possible. Bald Eagles are tolerant of human activity when feeding, and may congregate around fish processing plants, dumps, and below dams where fish concentrate. For perching, Bald Eagles prefer tall, mature coniferous or deciduous trees that afford a wide view of the surroundings. In winter, Bald Eagles can also be seen in dry, open uplands if there is access to open water for fishing "
Northern Harrier,Circus cyaneus ,"The Northern Harrier is distinctive from a long distance away: a slim, long-tailed hawk gliding low over a marsh or grassland, holding its wings in a V-shape and sporting a white patch at the base of its tail. Up close it has an owlish face that helps it hear mice and voles beneath the vegetation. Each gray-and-white male may mate with several females, which are larger and brown. These unusual raptors have a broad distribution across North America and Eurasia. ","Northern Harriers forage on the wing, coursing low over the ground. Unlike other hawks, they rely heavily on their sense of hearing to capture prey. In the breeding season they eat small mammals, reptiles, amphibians, and birds. During winter, harriers in the northern part of the range feed almost exclusively on meadow voles; they also eat deer mice, house mice, shrews, rabbits, and songbirds (including meadowlarks, Northern Cardinals, and Song Sparrows). Harriers wintering in the southern part of their range eat cotton rats, house mice, harvest mice, rice rats, shrews, and songbirds. ","Breeding Northern Harriers are most common in large, undisturbed tracts of wetlands and grasslands with low, thick vegetation. They breed in freshwater and brackish marshes, lightly grazed meadows, old fields, tundra, dry upland prairies, drained marshlands, high-desert shrubsteppe, and riverside woodlands across Canada and the northern United States. Western populations tend to breed in dry upland habitats, while northeastern and Midwestern populations tend to breed in wetlands. During winter they use a range of habitats with low vegetation, including deserts, coastal sand dunes, pasturelands, croplands, dry plains, grasslands, old fields, estuaries, open floodplains, and marshes "
Sharp-shinned Hawk,Accipiter striatus  ,"A tiny hawk that appears in a blur of motion—and often disappears in a flurry of feathers. That’s the Sharp-shinned Hawk, the smallest hawk in North America and a daring, acrobatic flier. These raptors have distinctive proportions: long legs, short wings, and very long tails, which they use for navigating their deep-woods homes at top speed in pursuit of songbirds and mice. They’re easiest to spot in fall on their southward migration, or occasionally at winter feeders ","Songbirds make up about 90 percent of the Sharp-shinned Hawk’s diet. Birds the size of American Robins or smaller (especially warblers, sparrows, and thrushes) are the most frequent prey; bigger birds are at less risk, though they’re not completely safe. Studies report quail, shorebirds, doves, swifts, woodpeckers, and even falcons as prey. Sharp-shins also eat small rodents, such as mice and voles, and an occasional moth or grasshopper. While nesting, much of the food for their babies is the nestlings and fledglings of other birds ","Sharp-shinned Hawks are birds of the forest and forest edge, and are not found where trees are scarce or scattered, except on migration. They require dense forest, ideally with a closed canopy, for breeding. While favoring forests that contain conifers, they also nest in stands of aspen in Colorado, oak-hickory forest in Missouri, and the hardwood forests of the East. They occupy a wide range of elevations, from sea level to near treeline. In the winter season, look for Sharp-shinned Hawks at forest edges, in somewhat more open habitats than the dense forests they breed in, as well as in suburban areas with bird feeders. "
Cooper's Hawk,Accipiter cooperii  ,"Among the bird world’s most skillful fliers, Cooper’s Hawks are common woodland hawks that tear through cluttered tree canopies in high speed pursuit of other birds. You’re most likely to see one prowling above a forest edge or field using just a few stiff wingbeats followed by a glide. With their smaller lookalike, the Sharp-shinned Hawk, Cooper’s Hawks make for famously tricky identifications. Both species are sometimes unwanted guests at bird feeders, looking for an easy meal (but not one of sunflower seeds) ","Cooper’s Hawks mainly eat birds. Small birds are safer around Cooper’s Hawks than medium-sized birds: studies list European Starlings, Mourning Doves, and Rock Pigeons as common targets along with American Robins, several kinds of jays, Northern Flicker, and quail, pheasants, grouse, and chickens. Cooper’s Hawks sometimes rob nests and also eat chipmunks, hares, mice, squirrels, and bats. Mammals are more common in diets of Cooper’s Hawks in the West. ","Cooper’s Hawks are forest and woodland birds, but our leafy suburbs seem nearly as good. These lanky hawks are a regular sight in parks, quiet neighborhoods, over fields, at backyard feeders, and even along busy streets if there are trees around. "
